Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
4;C(4, 1, 2, 3);1;1;18;12
5;C(5, 1, 2, 3);1;1;23;15
6;C(6, 1, 2, 3);1;1;23;18
7;C(7, 1, 2, 3);1;1;27;21
8;C(8, 1, 2, 3);2;1.14286;63;24
9;C(9, 1, 2, 3);2;1.25;42;27
9;C(9, 1, 2, 4);2;1.25;42;27
9;C(9, 1, 3, 4);2;1.25;42;27
10;C(10, 1, 2, 3);2;1.33333;96;30
10;C(10, 1, 2, 4);2;1.33333;96;30
10;C(10, 1, 3, 4);2;1.33333;96;30
11;C(11, 1, 2, 3);2;1.4;135;33
11;C(11, 1, 2, 4);2;1.4;135;33
11;C(11, 1, 2, 5);2;1.4;135;33
11;C(11, 1, 3, 4);2;1.4;135;33
11;C(11, 1, 3, 5);2;1.4;135;33
11;C(11, 1, 4, 5);2;1.4;135;33
12;C(12, 1, 2, 3);2;1.45455;162;36
12;C(12, 1, 2, 4);2;1.45455;162;36
12;C(12, 1, 2, 5);2;1.45455;162;36
12;C(12, 1, 3, 4);2;1.45455;162;36
12;C(12, 1, 3, 5);2;1.45455;162;36
12;C(12, 1, 4, 5);2;1.45455;162;36
13;C(13, 1, 2, 3);2;1.5;180;39
13;C(13, 1, 2, 4);2;1.5;180;39
13;C(13, 1, 2, 5);2;1.5;180;39
13;C(13, 1, 2, 6);2;1.5;180;39
13;C(13, 1, 3, 4);2;1.5;180;39
13;C(13, 1, 3, 5);2;1.5;180;39
13;C(13, 1, 3, 6);2;1.5;180;39
13;C(13, 1, 4, 5);2;1.5;180;39
13;C(13, 1, 4, 6);2;1.5;180;39
13;C(13, 1, 5, 6);2;1.5;180;39
14;C(14, 1, 2, 5);2;1.53846;250;42
14;C(14, 1, 2, 6);2;1.53846;250;42
14;C(14, 1, 3, 4);2;1.53846;250;42
14;C(14, 1, 3, 6);2;1.53846;250;42
14;C(14, 1, 4, 6);2;1.53846;250;42
14;C(14, 1, 5, 6);2;1.53846;250;42
15;C(15, 1, 2, 4);2;1.57143;252;45
15;C(15, 1, 2, 5);2;1.57143;252;45
15;C(15, 1, 2, 6);2;1.57143;252;45
15;C(15, 1, 2, 7);2;1.57143;252;45
15;C(15, 1, 3, 4);2;1.57143;252;45
15;C(15, 1, 3, 5);2;1.57143;252;45
15;C(15, 1, 3, 6);2;1.57143;252;45
15;C(15, 1, 3, 7);2;1.57143;252;45
15;C(15, 1, 4, 5);2;1.57143;252;45
15;C(15, 1, 4, 6);2;1.57143;252;45
15;C(15, 1, 4, 7);2;1.57143;252;45
15;C(15, 1, 5, 6);2;1.57143;252;45
15;C(15, 1, 5, 7);2;1.57143;252;45
16;C(16, 1, 2, 6);2;1.6;397;48
16;C(16, 1, 2, 7);2;1.6;397;48
16;C(16, 1, 3, 4);2;1.6;397;48
16;C(16, 1, 4, 5);2;1.6;397;48
16;C(16, 1, 4, 6);2;1.6;397;48
16;C(16, 1, 4, 7);2;1.6;397;48
16;C(16, 1, 6, 7);2;1.6;397;48
17;C(17, 1, 2, 6);2;1.625;354;51
17;C(17, 1, 2, 7);2;1.625;354;51
17;C(17, 1, 3, 4);2;1.625;354;51
17;C(17, 1, 3, 5);2;1.625;354;51
17;C(17, 1, 3, 6);2;1.625;354;51
17;C(17, 1, 3, 8);2;1.625;354;51
17;C(17, 1, 4, 5);2;1.625;354;51
17;C(17, 1, 4, 6);2;1.625;354;51
17;C(17, 1, 4, 7);2;1.625;354;51
17;C(17, 1, 5, 7);2;1.625;354;51
17;C(17, 1, 5, 8);2;1.625;354;51
17;C(17, 1, 6, 7);2;1.625;354;51
18;C(18, 1, 2, 7);2;1.64706;525;54
18;C(18, 1, 3, 8);2;1.64706;525;54
18;C(18, 1, 4, 8);2;1.64706;525;54
18;C(18, 1, 5, 8);2;1.64706;525;54
19;C(19, 1, 2, 7);2;1.66667;532;57
19;C(19, 1, 3, 7);2;1.66667;532;57
19;C(19, 1, 3, 8);2;1.66667;532;57
19;C(19, 1, 4, 6);2;1.66667;532;57
19;C(19, 1, 5, 8);2;1.66667;532;57
19;C(19, 1, 6, 9);2;1.66667;532;57
19;C(19, 1, 7, 8);2;1.66667;532;57
20;C(20, 1, 5, 8);2;1.68421;754;60
21;C(21, 1, 2, 8);2;1.7;739;63
21;C(21, 1, 3, 8);2;1.7;739;63
21;C(21, 1, 4, 6);2;1.7;739;63
21;C(21, 1, 4, 10);2;1.7;739;63
21;C(21, 1, 5, 8);2;1.7;739;63
21;C(21, 1, 5, 9);2;1.7;739;63
22;C(22, 1, 4, 8);3;1.7619;917;66
22;C(22, 1, 5, 8);3;1.7619;917;66
22;C(22, 1, 6, 9);3;1.7619;917;66
23;C(23, 1, 2, 9);3;1.81818;970;69
23;C(23, 1, 3, 8);3;1.81818;970;69
23;C(23, 1, 3, 9);3;1.81818;970;69
23;C(23, 1, 4, 6);3;1.81818;970;69
23;C(23, 1, 4, 7);3;1.81818;970;69
23;C(23, 1, 4, 10);3;1.81818;970;69
23;C(23, 1, 5, 7);3;1.81818;970;69
23;C(23, 1, 5, 8);3;1.81818;970;69
23;C(23, 1, 5, 10);3;1.81818;970;69
23;C(23, 1, 6, 9);3;1.81818;970;69
23;C(23, 1, 6, 10);3;1.81818;970;69
23;C(23, 1, 7, 11);3;1.81818;970;69
24;C(24, 1, 5, 8);3;1.78261;1258;72
25;C(25, 1, 3, 10);3;1.83333;1230;75
25;C(25, 1, 5, 8);3;1.83333;1230;75
26;C(26, 1, 3, 8);3;1.88;1683;78
26;C(26, 1, 4, 10);3;1.88;1683;78
26;C(26, 1, 6, 9);3;1.88;1683;78
27;C(27, 1, 4, 10);3;1.84615;1794;81
27;C(27, 1, 5, 8);3;1.84615;1794;81
27;C(27, 1, 7, 11);3;1.84615;1794;81
28;C(28, 1, 4, 11);3;1.88889;2446;84
28;C(28, 1, 5, 8);3;1.88889;2446;84
29;C(29, 1, 5, 13);3;1.92857;2143;87
29;C(29, 1, 6, 9);3;1.92857;2143;87
29;C(29, 1, 9, 13);3;1.92857;2143;87
30;C(30, 1, 5, 8);3;1.96552;2437;90
30;C(30, 1, 8, 12);3;1.96552;2437;90
31;C(31, 1, 4, 11);3;2;2648;93
31;C(31, 1, 5, 8);3;2;2648;93
31;C(31, 1, 5, 14);3;2;2648;93
31;C(31, 1, 6, 9);3;2;2648;93
31;C(31, 1, 6, 14);3;2;2648;93
31;C(31, 1, 7, 11);3;2;2648;93
32;C(32, 1, 4, 10);3;2.03226;3063;96
32;C(32, 1, 4, 13);3;2.03226;3063;96
32;C(32, 1, 5, 12);3;2.03226;3063;96
32;C(32, 1, 6, 9);3;2.03226;3063;96
32;C(32, 1, 7, 10);3;2.03226;3063;96
33;C(33, 1, 4, 10);3;2.0625;3364;99
33;C(33, 1, 4, 13);3;2.0625;3364;99
33;C(33, 1, 5, 8);3;2.0625;3364;99
33;C(33, 1, 5, 12);3;2.0625;3364;99
33;C(33, 1, 5, 13);3;2.0625;3364;99
33;C(33, 1, 6, 10);3;2.0625;3364;99
33;C(33, 1, 7, 10);3;2.0625;3364;99
33;C(33, 1, 8, 14);3;2.0625;3364;99
33;C(33, 1, 9, 13);3;2.0625;3364;99
33;C(33, 1, 10, 15);3;2.0625;3364;99
34;C(34, 1, 4, 14);3;2.09091;3915;102
34;C(34, 1, 5, 8);3;2.09091;3915;102
34;C(34, 1, 6, 9);3;2.09091;3915;102
34;C(34, 1, 6, 10);3;2.09091;3915;102
34;C(34, 1, 6, 15);3;2.09091;3915;102
34;C(34, 1, 7, 12);3;2.09091;3915;102
34;C(34, 1, 8, 12);3;2.09091;3915;102
34;C(34, 1, 9, 14);3;2.09091;3915;102
34;C(34, 1, 12, 15);3;2.09091;3915;102
35;C(35, 1, 4, 10);3;2.11765;4048;105
35;C(35, 1, 4, 11);3;2.11765;4048;105
35;C(35, 1, 4, 14);3;2.11765;4048;105
35;C(35, 1, 5, 8);3;2.11765;4048;105
35;C(35, 1, 5, 13);3;2.11765;4048;105
35;C(35, 1, 5, 14);3;2.11765;4048;105
35;C(35, 1, 5, 16);3;2.11765;4048;105
35;C(35, 1, 6, 9);3;2.11765;4048;105
35;C(35, 1, 6, 10);3;2.11765;4048;105
35;C(35, 1, 6, 16);3;2.11765;4048;105
35;C(35, 1, 7, 10);3;2.11765;4048;105
35;C(35, 1, 7, 11);3;2.11765;4048;105
35;C(35, 1, 7, 16);3;2.11765;4048;105
35;C(35, 1, 9, 14);3;2.11765;4048;105
35;C(35, 1, 9, 15);3;2.11765;4048;105
35;C(35, 1, 11, 15);3;2.11765;4048;105
35;C(35, 1, 11, 16);3;2.11765;4048;105
36;C(36, 1, 4, 10);3;2.14286;5387;108
36;C(36, 1, 4, 11);3;2.14286;5387;108
36;C(36, 1, 4, 13);3;2.14286;5387;108
36;C(36, 1, 4, 15);3;2.14286;5387;108
36;C(36, 1, 5, 8);3;2.14286;5387;108
36;C(36, 1, 5, 14);3;2.14286;5387;108
36;C(36, 1, 6, 16);3;2.14286;5387;108
36;C(36, 1, 7, 10);3;2.14286;5387;108
36;C(36, 1, 7, 16);3;2.14286;5387;108
36;C(36, 1, 8, 11);3;2.14286;5387;108
36;C(36, 1, 8, 13);3;2.14286;5387;108
36;C(36, 1, 10, 14);3;2.14286;5387;108
36;C(36, 1, 11, 16);3;2.14286;5387;108
36;C(36, 1, 13, 16);3;2.14286;5387;108
37;C(37, 1, 4, 10);3;2.16667;4935;111
37;C(37, 1, 4, 13);3;2.16667;4935;111
37;C(37, 1, 4, 14);3;2.16667;4935;111
37;C(37, 1, 4, 15);3;2.16667;4935;111
37;C(37, 1, 5, 8);3;2.16667;4935;111
37;C(37, 1, 5, 13);3;2.16667;4935;111
37;C(37, 1, 5, 17);3;2.16667;4935;111
37;C(37, 1, 6, 9);3;2.16667;4935;111
37;C(37, 1, 6, 10);3;2.16667;4935;111
37;C(37, 1, 6, 14);3;2.16667;4935;111
37;C(37, 1, 6, 17);3;2.16667;4935;111
37;C(37, 1, 7, 11);3;2.16667;4935;111
37;C(37, 1, 7, 17);3;2.16667;4935;111
37;C(37, 1, 8, 11);3;2.16667;4935;111
37;C(37, 1, 9, 13);3;2.16667;4935;111
37;C(37, 1, 9, 15);3;2.16667;4935;111
37;C(37, 1, 9, 16);3;2.16667;4935;111
37;C(37, 1, 10, 15);3;2.16667;4935;111
37;C(37, 1, 11, 17);3;2.16667;4935;111
37;C(37, 1, 13, 16);3;2.16667;4935;111
37;C(37, 1, 13, 17);3;2.16667;4935;111
38;C(38, 1, 4, 10);3;2.18919;5266;114
38;C(38, 1, 4, 11);3;2.18919;5266;114
38;C(38, 1, 4, 16);3;2.18919;5266;114
38;C(38, 1, 5, 12);3;2.18919;5266;114
38;C(38, 1, 6, 9);3;2.18919;5266;114
38;C(38, 1, 6, 10);3;2.18919;5266;114
38;C(38, 1, 6, 14);3;2.18919;5266;114
38;C(38, 1, 6, 17);3;2.18919;5266;114
38;C(38, 1, 7, 10);3;2.18919;5266;114
38;C(38, 1, 7, 11);3;2.18919;5266;114
38;C(38, 1, 8, 12);3;2.18919;5266;114
38;C(38, 1, 9, 12);3;2.18919;5266;114
38;C(38, 1, 9, 16);3;2.18919;5266;114
38;C(38, 1, 10, 15);3;2.18919;5266;114
38;C(38, 1, 12, 17);3;2.18919;5266;114
38;C(38, 1, 14, 17);3;2.18919;5266;114
39;C(39, 1, 4, 11);3;2.21053;5649;117
39;C(39, 1, 4, 14);3;2.21053;5649;117
39;C(39, 1, 4, 15);3;2.21053;5649;117
39;C(39, 1, 5, 12);3;2.21053;5649;117
39;C(39, 1, 5, 16);3;2.21053;5649;117
39;C(39, 1, 5, 18);3;2.21053;5649;117
39;C(39, 1, 6, 9);3;2.21053;5649;117
39;C(39, 1, 6, 10);3;2.21053;5649;117
39;C(39, 1, 6, 14);3;2.21053;5649;117
39;C(39, 1, 7, 10);3;2.21053;5649;117
39;C(39, 1, 7, 11);3;2.21053;5649;117
39;C(39, 1, 7, 12);3;2.21053;5649;117
39;C(39, 1, 7, 17);3;2.21053;5649;117
39;C(39, 1, 8, 11);3;2.21053;5649;117
39;C(39, 1, 8, 12);3;2.21053;5649;117
39;C(39, 1, 8, 18);3;2.21053;5649;117
39;C(39, 1, 9, 14);3;2.21053;5649;117
39;C(39, 1, 10, 16);3;2.21053;5649;117
39;C(39, 1, 11, 15);3;2.21053;5649;117
39;C(39, 1, 12, 18);3;2.21053;5649;117
39;C(39, 1, 14, 17);3;2.21053;5649;117
40;C(40, 1, 4, 15);3;2.23077;6188;120
40;C(40, 1, 4, 17);3;2.23077;6188;120
40;C(40, 1, 5, 14);3;2.23077;6188;120
40;C(40, 1, 5, 16);3;2.23077;6188;120
40;C(40, 1, 6, 15);3;2.23077;6188;120
40;C(40, 1, 7, 12);3;2.23077;6188;120
40;C(40, 1, 7, 18);3;2.23077;6188;120
40;C(40, 1, 8, 11);3;2.23077;6188;120
40;C(40, 1, 8, 14);3;2.23077;6188;120
40;C(40, 1, 8, 18);3;2.23077;6188;120
40;C(40, 1, 12, 18);3;2.23077;6188;120
40;C(40, 1, 14, 17);3;2.23077;6188;120
40;C(40, 1, 15, 18);3;2.23077;6188;120
41;C(41, 1, 4, 10);3;2.25;6391;123
41;C(41, 1, 4, 13);3;2.25;6391;123
41;C(41, 1, 4, 16);3;2.25;6391;123
41;C(41, 1, 4, 17);3;2.25;6391;123
41;C(41, 1, 5, 13);3;2.25;6391;123
41;C(41, 1, 5, 17);3;2.25;6391;123
41;C(41, 1, 5, 19);3;2.25;6391;123
41;C(41, 1, 6, 9);3;2.25;6391;123
41;C(41, 1, 6, 10);3;2.25;6391;123
41;C(41, 1, 6, 15);3;2.25;6391;123
41;C(41, 1, 6, 16);3;2.25;6391;123
41;C(41, 1, 6, 19);3;2.25;6391;123
41;C(41, 1, 7, 10);3;2.25;6391;123
41;C(41, 1, 7, 11);3;2.25;6391;123
41;C(41, 1, 7, 12);3;2.25;6391;123
41;C(41, 1, 7, 18);3;2.25;6391;123
41;C(41, 1, 7, 19);3;2.25;6391;123
41;C(41, 1, 8, 12);3;2.25;6391;123
41;C(41, 1, 8, 13);3;2.25;6391;123
41;C(41, 1, 8, 19);3;2.25;6391;123
41;C(41, 1, 9, 12);3;2.25;6391;123
41;C(41, 1, 9, 13);3;2.25;6391;123
41;C(41, 1, 9, 15);3;2.25;6391;123
41;C(41, 1, 10, 18);3;2.25;6391;123
41;C(41, 1, 11, 16);3;2.25;6391;123
41;C(41, 1, 11, 17);3;2.25;6391;123
41;C(41, 1, 12, 19);3;2.25;6391;123
41;C(41, 1, 13, 17);3;2.25;6391;123
41;C(41, 1, 13, 19);3;2.25;6391;123
41;C(41, 1, 15, 18);3;2.25;6391;123
42;C(42, 1, 4, 16);3;2.26829;7379;126
42;C(42, 1, 6, 10);3;2.26829;7379;126
42;C(42, 1, 7, 10);3;2.26829;7379;126
42;C(42, 1, 7, 12);3;2.26829;7379;126
42;C(42, 1, 8, 11);3;2.26829;7379;126
42;C(42, 1, 8, 12);3;2.26829;7379;126
42;C(42, 1, 10, 15);3;2.26829;7379;126
42;C(42, 1, 10, 18);3;2.26829;7379;126
42;C(42, 1, 15, 18);3;2.26829;7379;126
42;C(42, 1, 16, 19);3;2.26829;7379;126
